N RESULTS:  8843
TOTAL:  8843
0: 97, 1.096912812393984%
-1: 364, 4.116250141354744%
-2: 930, 10.516792943571186%
-3: 1427, 16.1370575596517%
-4: 1668, 18.862377021372836%
-5: 1527, 17.267895510573336%
-6: 1083, 12.246975008481284%
-7: 692, 7.825398620377699%
-8: 351, 3.9692412077349317%
-9: 168, 1.8998077575483434%
-10: 94, 1.0629876738663349%
-11: 51, 0.5767273549700328%
-12: 8, 0.09046703607373063%
-13: 9, 0.10177541558294696%
-14: 4, 0.04523351803686532%
-15: 4, 0.04523351803686532%
-16: 1, 0.01130837950921633%
-17: 1, 0.01130837950921633%
-18: 0, 0.0%
-19: 1, 0.01130837950921633%
-20: 363, 4.104941761845528%
